IT業界,3
OA機器業界,0
アパレル業界,3
インターネット業界,3
インテリア業界,3
ガス業界,0
ガラス業界,0
カフェ業界,3
カラオケ業界,3
カー用品店業界,0
クレジットカード業界,1
ゲーム業界,1
ゴム・タイヤ業界,0
ゴルフ場業界,0
コンビニ業界,0
サービス業界,3
ジュエリー業界,3
スポーツクラブ業界,3
スポーツ用品店業界,3
スポーツ用品業界,0
スーパー業界,0
テレビ業界,0
ドラッグストア業界,3
パチンコ(製造)業界,1
パン業界,3
ビル管理業界,3
ビール業界,0
ブライダル業界,3
プラント業界,0
ホテル業界,1
ホームセンター業界,3
メガネ業界,3
モバイル業界,3
リサイクル業界,3
リース業界,0
レジャー施設業界,1
不動産業界,3
中古車業界,3
中食業界,3
二輪車・バイク業界,1
人材派遣業界,3
介護業界,3
住宅業界,3
住宅設備業界,0
倉庫・運輸業界,0
冠婚葬祭業界,3
出版業界,3
化学業界,0
化粧品業界,3
医療機器業界,0
半導体業界,0
印刷業界,0
卸売業界,2
商品先物業界,1
土木業界,0
土石製品業界,0
家庭用品業界,0
家電業界,2
家電量販店業界,3
寿司業界,3
専門商社業界,0
小売業界,2
居酒屋業界,3
工作機械業界,0
広告業界,3
建設コンサルタント業界,0
建設業界,0
建設機械業界,0
損害保険業界,0
携帯電話業界,1
携帯電話販売業界,3
教育業界,3
文具業界,0
旅行業界,1
映画業界,3
時計業界,0
機械業界,0
水産・農林業界,0
海運業界,0
消費者金融業界,1
清涼飲料業界,1
玩具業界,0
百貨店業界,0
石油業界,0
精密機器業界,0
経営コンサルタント業界,3
総合商社業界,2
繊維業界,0
自動車業界,2
自動車部品業界,0
航空業界,1
菓子業界,0
製粉業界,0
製紙業界,0
製薬業界,1
証券業界,1
警備業界,3
通信業界,2
通販業界,3
造船重機業界,0
運送業界,0
重電業界,0
金属製品業界,0
金融業界,2
鉄道業界,0
鉄鋼業界,0
銀行業界,2
雑貨業界,3
電力業界,0
電気機器業界,2
電気通信工事業界,0
非鉄金属業界,0
靴業界,3
食品業界,0
飲食業界,3
飼料業界,0
駐車場業界,3
高速道路業界,0
